instrument_name,expiration,strike,option_type,last_price,mark_price,underlying_price,bid,ask,iv,volume,open_interest,underlying_index,quotes_quantity,time_to_expiry,is_call
BTC-12MAY25-92000-C,2025-05-12,92000.0,call,,0.1158,104048.0315,0.084,0.1445,0.6701,0.0,0.0,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-92000-P,2025-05-12,92000.0,put,0.0001,0.0,104048.0315,0.0,0.0001,0.6701,0.4,41.4,SYN.BTC-12MAY25,,0.0027397260273972603,False
BTC-12MAY25-94000-C,2025-05-12,94000.0,call,,0.0966,104048.0315,0.0625,0.127,0.6701,0.0,0.0,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-94000-P,2025-05-12,94000.0,put,0.0001,0.0,104048.0315,0.0,0.0001,0.6701,1.4,3.5,SYN.BTC-12MAY25,,0.0027397260273972603,False
BTC-12MAY25-96000-C,2025-05-12,96000.0,call,,0.0774,104048.0315,0.044,0.109,0.6634,0.0,0.0,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-96000-P,2025-05-12,96000.0,put,0.0001,0.0,104049.2824,0.0,0.0001,0.6634,8.7,3.0,SYN.BTC-12MAY25,,0.0027397260273972603,False
BTC-12MAY25-98000-C,2025-05-12,98000.0,call,,0.0583,104049.2824,0.0315,0.091,0.6568,0.0,0.0,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-98000-P,2025-05-12,98000.0,put,0.0001,0.0001,104049.2824,0.0,0.0002,0.6568,24.4,56.3,SYN.BTC-12MAY25,,0.0027397260273972603,False
BTC-12MAY25-99000-C,2025-05-12,99000.0,call,,0.0488,104049.2824,0.026,0.0825,0.6249,0.0,0.0,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-99000-P,2025-05-12,99000.0,put,0.0004,0.0003,104049.2824,0.0002,0.0004,0.6249,44.1,109.3,SYN.BTC-12MAY25,,0.0027397260273972603,False
BTC-12MAY25-100000-C,2025-05-12,100000.0,call,0.033,0.0393,104052.1528,0.0145,0.073,0.5493,0.0,0.1,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-100000-P,2025-05-12,100000.0,put,0.0006,0.0004,104052.1528,0.0003,0.0005,0.5493,52.1,100.9,SYN.BTC-12MAY25,,0.0027397260273972603,False
BTC-12MAY25-101000-C,2025-05-12,101000.0,call,,0.0298,104052.1528,0.0003,0.063,0.4685,0.0,0.0,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-101000-P,2025-05-12,101000.0,put,0.0006,0.0005,104049.2824,0.0005,0.0006,0.4685,17.3,178.7,SYN.BTC-12MAY25,,0.0027397260273972603,False
BTC-12MAY25-102000-C,2025-05-12,102000.0,call,0.019,0.0206,104052.1528,0.019,0.022,0.40020000000000006,26.2,32.6,SYN.BTC-12MAY25,,0.0027397260273972603,True
BTC-12MAY25-102000-P,2025-05-12,102000.0,put,0.0011,0.0009,104048.0315,0.0008,0.001,0.40020000000000006,43.7,95.8,SYN.BTC-12MAY25,,0.0027397260273972603,False
