instrument_name,expiration,strike,option_type,last_price,mark_price,underlying_price,bid,ask,iv,volume,open_interest,underlying_index,quotes_quantity,time_to_expiry,is_call
ETH-12MAY25-1400-C,2025-05-12,1400.0,call,,0.4344,2475.4255,0.433,0.436,2.5989,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-1400-P,2025-05-12,1400.0,put,0.0001,0.0,2475.4255,0.0,0.0001,2.5989,200.0,202.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-1500-C,2025-05-12,1500.0,call,,0.394,2475.4255,0.3925,0.3955,2.5989,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-1500-P,2025-05-12,1500.0,put,0.0001,0.0,2475.4255,0.0,0.0001,2.5989,200.0,211.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-1600-C,2025-05-12,1600.0,call,,0.3537,2475.6882,0.352,0.3555,2.5989,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-1600-P,2025-05-12,1600.0,put,0.0001,0.0,2475.6882,0.0,0.0001,2.5989,124.0,112.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-1700-C,2025-05-12,1700.0,call,,0.3133,2475.6882,0.3115,0.315,2.5989,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-1700-P,2025-05-12,1700.0,put,0.0001,0.0,2475.6882,0.0,0.0002,2.5989,9.0,8.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-1800-C,2025-05-12,1800.0,call,,0.2729,2475.6882,0.247,0.3015,2.4013999999999998,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-1800-P,2025-05-12,1800.0,put,0.0001,0.0,2475.8809,0.0,0.0003,2.4013999999999998,431.0,1618.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-1850-C,2025-05-12,1850.0,call,,0.2528,2475.8809,0.2255,0.2835,2.37,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-1850-P,2025-05-12,1850.0,put,0.0001,0.0,2475.8809,0.0,0.0003,2.37,493.0,737.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
